,0
0,BMW Championship
1,FedEx St. Jude Classic
2,Wyndham Championship
3,Rocket Mortgage Classic
4,3M Open
5,The Open
6,Barbasol Championship
7,Scottish Open
8,John Deere Classic
9,Travelers Championship
10,U.S. Open
11,RBC Canadian Open
12,The Memorial Tournament pres. by Nationwide
13,Charles Schwab Challenge
14,PGA Championship
15,AT&T Byron Nelson
16,Wells Fargo Championship
17,Mexico Open
18,RBC Heritage
19,Masters Tournament
20,Valero Texas Open
21,Corales Puntacana Resort & Club Championship
22,Valspar Championship
23,The Players Championship
24,Puerto Rico Open
25,Arnold Palmer Invitational Pres. by Mastercard
26,The Honda Classic
27,The Genesis Invitational
28,Waste Management Phoenix Open
29,AT&T Pebble Beach Pro-Am
30,Farmers Insurance Open
31,The American Express
32,Sony Open in Hawaii
33,Sentry Tournament of Champions
34,Hero World Challenge
35,The RSM Classic
36,Houston Open
37,Mayakoba Golf Classic
38,Bermuda Championship
39,The ZOZO Championship
40,The CJ Cup @ Summit
41,Shriners Hospital for Children Open
42,Sanderson Farms Championship
43,Fortinet Championship
44,Tour Championship
45,Northern Trust Open
46,WGC-FedEx St. Jude Classic
47,Palmetto Championship at Congaree
48,WGC-Workday Championship
49,The CJ Cup @ Shadow Creek
50,Safeway Open
51,The Northern Trust
52,Workday Charity Open
53,WGC-Mexico Championship
54,WGC-HSBC Champions
55,The CJ Cup @ Nine Bridges
56,A Military Tribute at The Greenbrier
57,Genesis Open
58,Desert Classic
59,CIMB Classic
60,Dell Technologies Championship
61,WGC-Bridgestone Invitational
62,Quicken Loans National
63,Fort Worth Invitational
64,World Golf Championships-Mexico Championship
65,CareerBuilder Challenge
66,OHL Classic at Mayakoba
67,World Golf Championships-HSBC Champions
68,World Golf Championship-Bridgestone Invitational
69,Dean & Deluca Invitational
70,Shell Houston Open
71,SBS Tournament of Champions
72,Deutsche Bank Championship
73,The Barclays
74,World Golf Championships - Cadillac Championship
75,Hyundai Tournament of Champions
76,The Greenbrier Classic
77,Crowne Plaza Invitation
78,Humana Chalenge
79,The McGladrey Classic
80,Frys.com Open
